SALESORDERID,CREATEDBY,CREATEDAT,CHANGEDBY,CHANGEDAT,FISCVARIANT,FISCALYEARPERIOD,NOTEID,PARTNERID,SALESORG,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS
500000000,4,20230111,4,20230116,K4,2018001,,100000022,APJ,USD,13587,11888.625,1698.375,C,C,C
500000001,2,20230112,2,20230115,K4,2018001,,100000026,EMEA,USD,12622,11044.25,1577.75,C,C,C
500000002,5,20230115,5,20230120,K4,2018001,,100000018,APJ,USD,45655,39948.125,5706.875,C,C,C
500000003,3,20230115,3,20230120,K4,2018001,,100000009,EMEA,USD,101786,89062.75,12723.25,C,C,C
500000004,8,20230116,8,20230117,K4,2018001,,100000025,EMEA,USD,71684,62723.5,8960.5,C,C,C
500000005,8,20230116,8,20230119,K4,2018001,,100000008,EMEA,USD,104213,91186.375,13026.625,C,C,C
500000006,3,20230117,3,20230120,K4,2018001,,100000038,EMEA,USD,173987,152238.625,21748.375,C,C,C
500000007,4,20230119,4,20230121,K4,2018001,,100000020,APJ,USD,1398,1223.25,174.75,C,C,C
500000008,3,20230120,3,20230122,K4,2018001,,100000028,EMEA,USD,127803,111827.625,15975.375,C,C,C
500000009,4,20230121,4,20230122,K4,2018001,,100000021,APJ,USD,79101,69213.375,9887.625,C,C,C
500000010,1,20230124,1,20230126,K4,2018001,,100000004,AMER,USD,10322,9031.75,1290.25,C,C,C
500000011,4,20230127,4,20230130,K4,2018001,,100000020,APJ,USD,99421,86993.375,12427.625,C,C,C
500000012,4,20230130,4,20230204,K4,2018001,,100000022,APJ,USD,15630,13676.25,1953.75,C,C,C
500000013,11,20230202,11,20230205,K4,2018002,,100000031,AMER,USD,70162,61391.75,8770.25,C,C,C
500000014,11,20230203,11,20230205,K4,2018002,,100000033,AMER,USD,32734,28642.25,4091.75,C,C,C
500000015,10,20230204,10,20230209,K4,2018002,,100000032,AMER,USD,21194,18544.75,2649.25,C,C,C
500000016,8,20230205,8,20230210,K4,2018002,,100000025,EMEA,USD,40691,35604.625,5086.375,C,C,C
500000017,13,20230206,13,20230211,K4,2018002,,100000030,AMER,USD,75228,65824.5,9403.5,C,C,C
500000018,1,20230206,1,20230207,K4,2018002,,100000034,AMER,USD,2871,2512.125,358.875,C,C,C
